রুণু : 1
মনঃ স্মরিলে : 1
মঞ্জু কুঞ্জবন : 1
ছায়া তব : 1
সহচরী সোহাগে : 1
বসাতো ধরি : 1
মাধবে অধীনী : 1
সহ পাতি : 1
ফুলাসন মুঞ্জরিত : 1
তরুবলী গুঞ্জরিত : 1
যত অলি : 1
কুসুম কামিনী : 1
তুলি ঘোমটা : 1
অমনি মলয়ে : 1
সৌরভধন বিতরিত : 1
অনুক্ষণ দাতা : 1
যথা রাজেন্দ্রনন্দিনী : 1
গন্ধামোদে মোদিয়া : 1
কানন ৪ : 1
পঞ্চস্বরে কত : 1
যে গাইত : 1
পিকবর মদন : 1
কীর্ত্তন হেরি : 1
ধন ভাবি : 1
তারে নবঘন : 1
নাচিত সুখে : 1
শিখিনী কানন : 1
পারি তাহা : 1
দেখেছি শুনেছি : 1
যাহা রয়েছে : 1
লেখা রাধিকার : 1
মনে নলিনী : 1
ভুলিবে যবে : 1
রবি দেবে : 1
রাধা তবে : 1
ভুলিবে হে : 1
মঞ্জু কুঞ্জ : 1
ব্রজের রঞ্জনে : 1
যদি ভুলি : 1
যবে আসি : 1
গ্রাসিবে শমন : 1
৫ কহ : 1
সখে জান : 1
যদি কোথা : 1
গুণমণি রাধিকারমণ : 1
কাম বঁধু : 1
যথা মধু : 1
শ্যামের বঁধু : 1
একাকী আজি : 1
কিসের কারণ : 1
তোমার মদন : 1
বিলাপিনী কাঁদি : 1
কোথা মম : 1
কুঞ্জবর তোমার : 1
হৃদয় দয়া : 1
পদ্মে যথা : 1
পদ্মালয়া বধো : 1
না রাধার : 1
প্রাণ না : 1
দিয়া উত্তর : 1
শুন ব্রজাঙ্গনে : 1
মধুপুরে শ্রীমধুসূদন : 1
বসন্তে কুসুম : 1
কুল যথা : 1
বনস্থলে চেয়ে : 1
দেখ তারাচয় : 1
ফুটিছে গগনে : 1
মৃগাক্ষি সুহাস : 1
মুখে সরসীর : 1
জলে চন্দ্রিমা : 1
করিছে কেলি : 1
কি কহিতেছে : 1
মধুর স্বননেপবন : 1
বনের কবি : 1
দলে বুঝিতে : 1
প্রিয়ে নারিবে : 1
কেমনে প্ৰেম : 1
ফুলেশ্বরী তুমি : 1
প্রমদা মণ্ডলে : 1
এ হৃদয় : 1
দেখ এবে : 1
ওই সরোবরে : 1
চন্দ্রিমার রূপে : 1
এতে তোমার : 1
মূরতি কাল : 1
বলি অবহেলা : 1
প্রেয়সি যে : 1
করেনিশায় আমার : 1
